Ticker,Date,Open,High,Low,Close,Volume
SPY,2014/3/18,186.71,187.91,186.51,187.66,101804519
SPY,2014/3/19,187.7,187.94,185.47,186.66,176267253
SPY,2014/3/20,186.25,187.89,185.92,187.747,117240972
SPY,2014/3/21,187.72,189.0239,186.03,186.2,163127905
SPY,2014/3/24,186.82,187.07,184.62,185.43,121411145
SPY,2014/3/25,186.37,186.94,185.27,186.31,103851737
SPY,2014/3/26,187.03,187.34,184.92,184.97,119842897
SPY,2014/3/27,184.77,185.34,183.9,184.58,142382757
SPY,2014/3/28,185.105,186.42,185,185.49,101641547
SPY,2014/3/31,186.65,187.3,185.5216,187.01,99744911
SPY,2014/4/1,187.62,188.36,187.0015,188.25,89193125
SPY,2014/4/2,188.5,189.13,188.14,188.88,78773818
SPY,2014/4/3,189.17,189.22,188.05,188.63,77435320
SPY,2014/4/4,189.64,189.7,186.1,186.4,169380705
SPY,2014/4/7,185.9,186.26,183.96,184.34,140802699
SPY,2014/4/8,184.21,185.4,183.59,185.1,112659755
SPY,2014/4/9,185.6,187.15,185.06,187.09,100253612
SPY,2014/4/10,187.09,187.17,182.93,183.155,172959331
SPY,2014/4/11,182.17,183.42,181.31,181.51,167250792
SPY,2014/4/14,182.93,183.37,181.44,182.9401,132381601
SPY,2014/4/15,183.32,184.33,181.51,184.2,157092533
SPY,2014/4/16,185.47,186.14,184.65,186.125,105196633
SPY,2014/4/17,185.88,186.91,185.56,186.39,105254649
SPY,2014/4/21,186.44,187.1,186.21,187.04,68329343
SPY,2014/4/22,187.23,188.4,187.13,187.89,85790307
SPY,2014/4/23,187.81,187.92,187.3,187.45,73869384
SPY,2014/4/24,188.37,188.39,186.93,187.83,88169916
SPY,2014/4/25,187.21,187.33,185.87,186.29,100380205
SPY,2014/4/28,187.05,187.69,184.96,186.875,135121094
SPY,2014/4/29,187.48,188.04,187.08,187.75,84097551
SPY,2014/4/30,187.44,188.5,187.18,188.31,101507717
SPY,2014/5/1,188.22,188.84,187.73,188.325,93019095
SPY,2014/5/2,188.31,189.14,187.78,188.06,98121662
SPY,2014/5/5,187.14,188.55,186.62,188.42,75882739
SPY,2014/5/6,188,188.13,186.74,186.78,85454226
SPY,2014/5/7,187.43,187.97,186.01,187.88,106500480
SPY,2014/5/8,187.67,189.05,187.08,187.675,93617513
SPY,2014/5/9,187.69,188.04,186.83,187.96,83678568
SPY,2014/5/12,188.76,189.88,188.75,189.785,86940045
SPY,2014/5/13,190.03,190.42,189.77,189.96,66453965
SPY,2014/5/14,189.79,189.88,188.79,189.06,72366848
SPY,2014/5/15,188.67,188.72,186.48,187.4,154956399
SPY,2014/5/16,187.51,188.13,186.72,188.05,97457678
SPY,2014/5/19,187.69,188.89,187.52,188.74,63839398
SPY,2014/5/20,188.645,188.67,187.07,187.55,111644478
SPY,2014/5/21,188.1,189.22,188.06,189.13,89093285
SPY,2014/5/22,189.18,189.98,188.86,189.59,61549345
SPY,2014/5/23,189.75,190.48,189.5858,190.35,60156088
SPY,2014/5/27,191.05,191.58,190.95,191.52,72010355
SPY,2014/5/28,191.52,191.82,191.06,191.38,66722865
SPY,2014/5/29,191.82,192.4,191.33,192.37,64376573
SPY,2014/5/30,192.19,192.8,192.03,192.68,76315640
SPY,2014/6/2,192.95,192.99,191.97,192.895,64655648
SPY,2014/6/3,192.4,192.9,192.25,192.8,65047193
SPY,2014/6/4,192.47,193.3,192.265,193.19,55529372
SPY,2014/6/5,193.41,194.65,192.7,194.45,92102592
SPY,2014/6/6,194.87,195.43,194.78,195.375,78696219
SPY,2014/6/9,195.35,196.05,195.17,195.58,65118828
SPY,2014/6/10,195.33,195.64,194.92,195.6,57129440
SPY,2014/6/11,194.9,195.12,194.48,194.92,68772479
SPY,2014/6/12,194.65,194.8,193.11,193.54,106350200
SPY,2014/6/13,193.9,194.32,193.3,194.13,82017278
SPY,2014/6/16,193.89,194.7,193.66,194.29,87424332
SPY,2014/6/17,194.02,194.97,193.81,194.83,84833876
SPY,2014/6/18,194.83,196.37,194.4,196.255,105266767
SPY,2014/6/19,196.43,196.6,195.8,196.48,85928920
SPY,2014/6/20,196.03,196.1039,195.7,195.94,100587108
SPY,2014/6/23,195.97,196.05,195.52,195.88,70611486
SPY,2014/6/24,195.53,196.5,194.48,194.7,96236917
SPY,2014/6/25,194.25,195.781,194.25,195.58,82781912
SPY,2014/6/26,195.61,195.63,194.13,195.44,84311822
SPY,2014/6/27,194.98,195.88,194.885,195.82,71453616
SPY,2014/6/30,195.7,196.165,195.53,195.72,70504228
SPY,2014/7/1,196.19,197.63,196.13,197.03,90470121
SPY,2014/7/2,197.05,197.48,196.96,197.23,52474832
SPY,2014/7/3,197.79,198.29,197.64,198.2,52938832
SPY,2014/7/7,197.82,197.98,197.22,197.51,61696447
SPY,2014/7/8,197.15,197.22,195.76,196.24,108142552
SPY,2014/7/9,196.73,197.295,196.31,197.12,72992322
SPY,2014/7/10,195.22,196.86,195.06,196.34,99040407
SPY,2014/7/11,196.22,196.75,195.78,196.61,64243410
SPY,2014/7/14,197.61,197.86,197.44,197.6,58657919
SPY,2014/7/15,197.72,198.1,196.36,197.23,111346230
SPY,2014/7/16,198.11,198.26,197.42,197.96,80073242
SPY,2014/7/17,197.35,198.1,195.43,195.71,145398459
SPY,2014/7/18,196.35,197.91,196.24,197.7099,124330419
SPY,2014/7/21,197.09,197.5,196.43,197.34,67591618
SPY,2014/7/22,198.01,198.56,197.87,198.2,67677602
SPY,2014/7/23,198.495,198.85,198.1,198.64,65611830
SPY,2014/7/24,198.83,199.06,198.45,198.65,56888093
SPY,2014/7/25,198.09,198.26,197.33,197.72,76837257
SPY,2014/7/28,197.76,198.09,196.62,197.8,69258785
SPY,2014/7/29,198.17,198.45,196.92,196.95,80466351
SPY,2014/7/30,197.65,197.91,196.16,196.98,104222452
SPY,2014/7/31,195.61,195.78,192.97,193.09,183479441
SPY,2014/8/1,192.56,193.76,191.57,192.5,189260864
SPY,2014/8/4,192.87,194.3,192.05,193.89,91340487
SPY,2014/8/5,193.1,193.6,191.31,192.01,152690379
SPY,2014/8/6,191.11,192.89,191.08,192.07,94818317
SPY,2014/8/7,192.935,193.13,190.55,191.03,135733421
SPY,2014/8/8,191.46,193.37,190.95,193.24,117014384
SPY,2014/8/11,193.965,194.66,193.71,193.795,74543691
SPY,2014/8/12,193.61,194.15,192.94,193.53,73631640
SPY,2014/8/13,194.29,195.06,193.96,194.84,69046544
SPY,2014/8/14,195.16,195.76,194.98,195.76,57370793
SPY,2014/8/15,196.47,196.65,194.31,195.72,139950669
SPY,2014/8/18,196.8,197.45,196.69,197.36,75424360
SPY,2014/8/19,197.84,198.54,197.4426,198.39,59134709
SPY,2014/8/20,198.12,199.16,198.08,198.92,72762541
SPY,2014/8/21,199.09,199.76,198.93,199.5,67790690
SPY,2014/8/22,199.34,199.69,198.74,199.19,76107359
SPY,2014/8/25,200.14,200.5949,199.1502,200.2,63855022
SPY,2014/8/26,200.33,200.82,200.28,200.33,47298324
SPY,2014/8/27,200.43,200.57,199.94,200.25,47873708
SPY,2014/8/28,199.59,200.27,199.39,200.14,58330373
SPY,2014/8/29,200.45,200.73,199.82,200.71,65906598
SPY,2014/9/2,200.97,200.995,199.86,200.61,72425793
SPY,2014/9/3,201.38,201.41,200.22,200.5,57461742
SPY,2014/9/4,200.84,201.58,199.66,200.2101,85236442
SPY,2014/9/5,200.17,201.19,199.41,201.11,102176784
SPY,2014/9/8,200.92,201.21,200,200.59,64145745
SPY,2014/9/9,200.41,200.55,198.91,199.32,88590876
SPY,2014/9/10,199.43,200.2,198.77,200.07,67251103
SPY,2014/9/11,199.27,200.33,199.12,200.3,66823558
SPY,2014/9/12,200.1,200.12,198.56,199.13,117478516
SPY,2014/9/15,199.16,199.32,198.38,198.981,76401421
SPY,2014/9/16,198.61,200.84,198.5,200.48,116200722
SPY,2014/9/17,200.77,201.68,199.75,200.75,151265896
SPY,2014/9/18,201.36,201.85,201.1,201.82,94990300
SPY,2014/9/19,201.52,201.899,200.29,200.7,121649147
SPY,2014/9/22,200.35,200.38,198.73,199.15,125552758
SPY,2014/9/23,198.43,199.26,197.95,198.01,111393319
SPY,2014/9/24,198.04,199.69,197.52,199.56,107275635
SPY,2014/9/25,199.04,199.05,196.27,196.34,150300028
SPY,2014/9/26,196.7,198.39,196.42,197.9,103546740
SPY,2014/9/29,196.2,197.89,196.05,197.54,95111605
SPY,2014/9/30,197.69,198.3,196.61,197.02,131302082
SPY,2014/10/1,196.7,196.77,193.91,194.35,177797862
SPY,2014/10/2,194.18,195.055,192.35,194.38,157285182
SPY,2014/10/3,195.68,196.94,195.08,196.52,121568769
SPY,2014/10/6,197.34,197.6,195.582,196.29,104778335
SPY,2014/10/7,195.28,195.72,193.22,193.26,147913498
SPY,2014/10/8,193.37,196.92,192.36,196.64,186461453
SPY,2014/10/9,196.33,196.6,192.58,192.74,210704601
SPY,2014/10/10,192.69,193.65,190.49,190.54,221908954
SPY,2014/10/13,190.46,191.15,187.3,187.4099,230938833
SPY,2014/10/14,188.42,189.82,187.04,187.7,215846527
SPY,2014/10/15,185.16,187.694,181.92,186.43,380714598
SPY,2014/10/16,183.06,187.58,182.89,186.27,270391488
SPY,2014/10/17,188.42,189.75,187.62,188.47,214624921
SPY,2014/10/20,188.13,190.45,188.07,190.3,130010813
SPY,2014/10/21,191.68,194.2,191.48,194.07,154948579
SPY,2014/10/22,194.41,194.91,192.61,192.69,151822409
SPY,2014/10/23,194.62,196.2,194.26,194.93,154944169
SPY,2014/10/24,195.25,196.49,194.49,196.43,117927286
