Ticker,Date,Open,High,Low,Close,Volume
TLT,2004/9/16,87.56,88.48,87.5,88.36,1103400
TLT,2004/9/17,88.13,88.39,87.89,87.92,765400
TLT,2004/9/20,88.26,88.57,88.19,88.5,727200
TLT,2004/9/21,88.36,88.92,88.1015,88.76,1018500
TLT,2004/9/22,88.8,89.81,88.65,89.68,2541200
TLT,2004/9/23,89.67,89.88,89.32,89.32,2391000
TLT,2004/9/24,89.35,89.49,89.1,89.43,1984300
TLT,2004/9/27,89.6,89.89,89.57,89.82,1420800
TLT,2004/9/28,89.68,89.95,89.22,89.46,1161100
TLT,2004/9/29,88.7,88.87,88.56,88.59,1970700
TLT,2004/9/30,88.14,88.37,87.96,88.25,1945700
TLT,2004/10/1,87.5,87.63,87.29,87.45,1999300
TLT,2004/10/4,87,87.6,87,87.58,1106200
TLT,2004/10/5,87.53,87.6985,87.42,87.58,501700
TLT,2004/10/6,87.45,87.47,87.02,87.18,531300
TLT,2004/10/7,87,87.18,86.74,86.8,2128600
TLT,2004/10/8,87.97,88.21,87.75,87.95,1534500
TLT,2004/10/11,87.95,88.1,87.73,88.04,60800
TLT,2004/10/12,88.34,88.39,88.16,88.24,757900
TLT,2004/10/13,88,88.56,87.95,88.56,648000
TLT,2004/10/14,88.5,89.01,88.41,88.98,717100
TLT,2004/10/15,88.81,88.99,88.18,88.67,746400
TLT,2004/10/18,88.65,88.79,88.37,88.71,613600
TLT,2004/10/19,88.33,88.99,88.27,88.94,505400
TLT,2004/10/20,89.26,89.61,89.2,89.55,1127100
TLT,2004/10/21,89.44,89.9,89.44,89.61,1649200
TLT,2004/10/22,89.5,89.82,89.37,89.82,491500
TLT,2004/10/25,90.07,90.09,89.8,89.89,246800
TLT,2004/10/26,89.95,90.01,89.62,89.62,503700
TLT,2004/10/27,89.87,90.05,88.72,88.74,2351800
TLT,2004/10/28,88.74,89.16,88.52,89.03,839200
TLT,2004/10/29,89.11,89.49,88.92,89.44,1169300
TLT,2004/11/1,88.75,89,88.4,88.52,923500
TLT,2004/11/2,88.48,88.73,88.31,88.65,709300
TLT,2004/11/3,88.03,88.75,88,88.69,1066600
